,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS, , ,Attend.,Notes
7,9:00p,Charlotte Hornets,90,San Antonio Spurs,114,Box Score,,"18,615",
8,10:00p,Los Angeles Lakers,129,Sacramento Kings,113,Box Score,,"17,583",
9,10:30p,Utah Jazz,107,Portland Trail Blazers,124,Box Score,,"19,603",
10,12:30p,Denver Nuggets,123,Detroit Pistons,128,Box Score,OT,"15,488",
11,2:00p,New Orleans Pelicans,109,Houston Rockets,117,Box Score,,"18,055",
12,2:00p,Phoenix Suns,108,Milwaukee Bucks,129,Box Score,,"17,754",
13,3:00p,Chicago Bulls,102,Toronto Raptors,129,Box Score,,"19,800",
14,7:00p,Orlando Magic,112,Charlotte Hornets,100,Box Score,,"12,337",
15,7:00p,New York Knicks,139,Cleveland Cavaliers,134,Box Score,OT,"16,303",
16,7:00p,Dallas Mavericks,112,Indiana Pacers,103,Box Score,,"15,086",
17,7:00p,Golden State Warriors,125,Washington Wizards,117,Box Score,,"17,120",
18,7:30p,Boston Celtics,123,Atlanta Hawks,115,Box Score,,"16,231",
19,7:30p,Phoenix Suns,97,Brooklyn Nets,119,Box Score,,"14,891",
20,7:30p,Philadelphia 76ers,106,Miami Heat,137,Box Score,,"19,725",
21,8:00p,Detroit Pistons,82,Memphis Grizzlies,96,Box Score,,"14,597",
22,10:00p,Minnesota Timberwolves,109,Sacramento Kings,113,Box Score,,"15,819",
23,10:30p,San Antonio Spurs,105,Los Angeles Clippers,108,Box Score,,"19,068",
24,7:30p,Milwaukee Bucks,120,New Orleans Pelicans,108,Box Score,,"15,424",
25,8:00p,Charlotte Hornets,110,Houston Rockets,125,Box Score,,"18,055",
26,9:00p,Portland Trail Blazers,99,Denver Nuggets,127,Box Score,,"19,520",
27,10:00p,San Antonio Spurs,102,Los Angeles Lakers,129,Box Score,,"18,997",
28,7:00p,Phoenix Suns,108,Detroit Pistons,116,Box Score,,"13,707",
29,7:30p,Orlando Magic,100,Boston Celtics,116,Box Score,,"19,156",
30,7:30p,Golden State Warriors,88,Brooklyn Nets,129,Box Score,,"14,352",
31,7:30p,Indiana Pacers,118,Toronto Raptors,119,Box Score,,"19,800",
32,8:00p,Atlanta Hawks,127,Minnesota Timberwolves,120,Box Score,,"10,779",
33,8:00p,Cleveland Cavaliers,103,Oklahoma City Thunder,109,Box Score,,"18,203",
34,8:30p,Memphis Grizzlies,121,Dallas Mavericks,107,Box Score,,"20,069",
35,9:00p,Denver Nuggets,98,Utah Jazz,95,Box Score,,"18,306",
36,10:00p,Miami Heat,111,Los Angeles Clippers,128,Box Score,,"19,068",
37,7:30p,Orlando Magic,103,New York Knicks,105,Box Score,,"18,895",
38,8:00p,New Orleans Pelicans,125,Chicago Bulls,119,Box Score,,"18,247",
39,8:00p,Philadelphia 76ers,101,Milwaukee Bucks,112,Box Score,,"17,928",
40,10:00p,San Antonio Spurs,117,Portland Trail Blazers,125,Box Score,,"19,653",
41,10:30p,Houston Rockets,121,Los Angeles Lakers,111,Box Score,,"18,997",
42,7:00p,Memphis Grizzlies,107,Philadelphia 76ers,119,Box Score,,"20,779",
43,7:00p,Dallas Mavericks,118,Washington Wizards,119,Box Score,,"20,476",
44,7:30p,Atlanta Hawks,107,Boston Celtics,112,Box Score,,"19,156",
45,8:00p,Toronto Raptors,115,Indiana Pacers,106,Box Score,,"17,028",
46,8:00p,Detroit Pistons,101,Oklahoma City Thunder,108,Box Score,,"18,203",
47,9:00p,Houston Rockets,91,Phoenix Suns,127,Box Score,,"17,043",
48,10:00p,Miami Heat,97,Sacramento Kings,105,Box Score,,"16,760",
49,10:30p,Portland Trail Blazers,114,Utah Jazz,117,Box Score,,"18,306",
50,5:00p,Milwaukee Bucks,111,Orlando Magic,95,Box Score,,"16,632",
51,7:00p,Dallas Mavericks,116,Charlotte Hornets,100,Box Score,,"19,370",
52,7:00p,New York Knicks,95,Detroit Pistons,92,Box Score,,"15,980",
53,7:30p,New Orleans Pelicans,124,Indiana Pacers,117,Box Score,,"17,923",
54,7:30p,Brooklyn Nets,118,Toronto Raptors,119,Box Score,,"19,800",
55,8:00p,Los Angeles Clippers,115,Minnesota Timberwolves,142,Box Score,,"18,978",
56,8:30p,Los Angeles Lakers,125,Golden State Warriors,120,Box Score,,"18,064",
57,9:00p,Denver Nuggets,117,Phoenix Suns,108,Box Score,,"16,843",
58,10:00p,San Antonio Spurs,102,Sacramento Kings,122,Box Score,,"16,756",
59,3:30p,Boston Celtics,112,Oklahoma City Thunder,111,Box Score,,"18,203",
60,6:00p,New York Knicks,135,Atlanta Hawks,140,Box Score,2OT,"16,309",
61,6:00p,Chicago Bulls,111,Philadelphia 76ers,118,Box Score,,"21,018",
62,6:00p,Memphis Grizzlies,106,Washington Wizards,99,Box Score,,"17,251",
63,7:00p,Utah Jazz,114,Houston Rockets,113,Box Score,,"18,055",
64,7:30p,Los Angeles Clippers,133,Cleveland Cavaliers,92,Box Score,,"17,240",
65,9:00p,Miami Heat,109,Portland Trail Blazers,115,Box Score,,"19,726",
66,7:00p,Charlotte Hornets,87,Detroit Pistons,76,Box Score,,"13,941",
67,7:00p,Brooklyn Nets,106,Indiana Pacers,105,Box Score,,"16,761",
68,7:00p,Atlanta Hawks,126,Orlando Magic,135,Box Score,,"17,076",
69,7:30p,Minnesota Timberwolves,126,Toronto Raptors,137,Box Score,,"19,800",
70,8:00p,Sacramento Kings,111,Milwaukee Bucks,123,Box Score,,"17,463",
71,8:30p,Utah Jazz,123,Dallas Mavericks,119,Box Score,,"19,793",
72,9:00p,San Antonio Spurs,120,Denver Nuggets,127,Box Score,,"19,520",
73,10:30p,Miami Heat,113,Golden State Warriors,101,Box Score,,"18,064",
74,10:30p,Phoenix Suns,100,Los Angeles Lakers,125,Box Score,,"18,997",
75,7:00p,Los Angeles Clippers,103,Philadelphia 76ers,110,Box Score,,"20,730",
76,7:00p,Chicago Bulls,114,Washington Wizards,126,Box Score,,"15,135",
77,8:00p,Portland Trail Blazers,117,New Orleans Pelicans,138,Box Score,,"15,739",
78,8:00p,San Antonio Spurs,114,Oklahoma City Thunder,106,Box Score,,"18,203",
