,Visitor/Neutral,PTS,Home/Neutral,PTS.1
44,Detroit Pistons,115.0,Cleveland Cavaliers,113.0
45,Portland Trail Blazers,101.0,Toronto Raptors,99.0
46,Oklahoma City Thunder,111.0,Brooklyn Nets,103.0
47,Minnesota Timberwolves,112.0,Memphis Grizzlies,119.0
48,Sacramento Kings,114.0,Phoenix Suns,103.0
49,New York Knicks,87.0,Los Angeles Lakers,117.0
50,San Antonio Spurs,129.0,Boston Celtics,114.0
51,Toronto Raptors,112.0,Charlotte Hornets,110.0
52,Miami Heat,122.0,Indiana Pacers,108.0
53,Washington Wizards,89.0,Orlando Magic,123.0
54,Houston Rockets,122.0,Atlanta Hawks,115.0
55,Denver Nuggets,107.0,Dallas Mavericks,106.0
56,Chicago Bulls,108.0,New Orleans Pelicans,123.0
57,New York Knicks,104.0,Utah Jazz,128.0
58,Milwaukee Bucks,107.0,Golden State Warriors,98.0
59,Cleveland Cavaliers,115.0,Detroit Pistons,112.0
60,Boston Celtics,98.0,Philadelphia 76ers,109.0
61,Portland Trail Blazers,102.0,Minnesota Timberwolves,116.0
62,Houston Rockets,92.0,Oklahoma City Thunder,113.0
63,Atlanta Hawks,101.0,Washington Wizards,111.0
64,New Orleans Pelicans,123.0,New York Knicks,111.0
65,Miami Heat,113.0,Brooklyn Nets,117.0
66,Indiana Pacers,116.0,Chicago Bulls,105.0
67,San Antonio Spurs,121.0,Memphis Grizzlies,134.0
68,Orlando Magic,94.0,Phoenix Suns,98.0
69,Charlotte Hornets,92.0,Utah Jazz,109.0
70,Los Angeles Lakers,129.0,Dallas Mavericks,114.0
71,Milwaukee Bucks,127.0,Sacramento Kings,106.0
72,Golden State Warriors,100.0,Los Angeles Clippers,109.0
73,Minnesota Timberwolves,109.0,Houston Rockets,139.0
74,New Orleans Pelicans,105.0,Boston Celtics,140.0
75,Chicago Bulls,108.0,Detroit Pistons,99.0
76,Los Angeles Lakers,125.0,Oklahoma City Thunder,110.0
77,Philadelphia 76ers,91.0,Dallas Mavericks,109.0
78,Cleveland Cavaliers,111.0,Denver Nuggets,103.0
79,Milwaukee Bucks,122.0,Portland Trail Blazers,101.0
80,Miami Heat,121.0,New York Knicks,124.0
81,Utah Jazz,127.0,Washington Wizards,116.0
82,Atlanta Hawks,86.0,Brooklyn Nets,108.0
83,Golden State Warriors,102.0,Memphis Grizzlies,122.0
84,San Antonio Spurs,105.0,Toronto Raptors,104.0
85,Los Angeles Clippers,104.0,Denver Nuggets,114.0
86,Charlotte Hornets,92.0,Phoenix Suns,100.0
